income_bracket,median_debt
lo,14457
lo,14739
lo,9500
lo,16750
lo,15338
lo,17992
lo,7000
lo,13000
lo,9842
lo,16750
lo,19875
lo,5500
lo,9500
lo,9231
lo,5333
lo,5500
lo,14250
lo,5972.5
lo,7851
lo,9549
lo,15983.5
lo,17250
lo,3500
lo,5512
lo,12375
lo,13938
lo,6206
lo,12489
lo,21094
lo,15500
lo,6489.5
lo,11738
lo,3474
lo,25750
lo,21134
lo,14515.5
lo,3500
lo,14250
lo,21125.5
lo,19287.5
lo,14987.5
lo,17569
lo,15250
lo,26000
lo,7454.5
lo,10927
lo,10750
lo,9500
lo,13500
lo,5976
lo,12250
lo,7896
lo,9207
lo,15200
lo,14000
lo,5982
lo,9484.5
lo,9484.5
lo,9484.5
lo,15467.5
lo,8488
lo,9500
lo,15200
lo,4500
lo,13400
lo,33500
lo,5051
lo,12790.5
lo,4374
lo,9500
lo,9500
lo,6333
lo,6331
lo,11891.5
lo,3500
lo,9500
lo,6333
lo,6000
lo,4500
lo,13000
lo,13000
lo,9000
lo,15469
lo,12500
lo,11897.5
lo,6803
lo,7600
lo,4000
lo,8363
lo,8363
lo,16666
lo,9500
lo,3500
lo,7307
lo,4500
lo,5500
lo,9500
lo,9476
lo,14750
lo,18693.5
lo,8920
lo,6333
lo,12500
lo,12500
lo,9500
lo,6555
lo,13500
lo,9500
lo,6850.5
lo,14625
lo,12133
lo,4197
lo,12998.5
lo,10920
lo,7000
lo,7682
lo,9868
lo,7727
lo,11300
lo,12125
lo,10500
lo,1750
lo,3412
lo,9833
lo,9622
lo,7427
lo,19000
lo,9183
lo,23500
lo,14000
lo,15803
lo,6365
lo,8374
lo,6810
lo,12000
lo,6978
lo,8775
lo,8500
lo,5250
lo,18443.5
lo,3500
lo,9300
lo,10250
lo,9833
lo,9500
lo,10251
lo,8415
lo,9500
lo,3800
lo,7125
lo,12096
lo,13000
lo,6331
lo,7300
lo,7000
lo,11000
lo,4254
lo,9500
lo,6877
lo,6738
lo,31000
lo,9500
lo,19500
lo,7208.5
lo,11639
lo,20000
lo,23500
lo,9308
lo,7898
lo,7000
lo,18750
lo,7608.5
lo,21100
lo,30250
lo,20166.5
lo,16500
lo,4000
lo,9667
lo,12010
lo,13831.5
lo,14466
lo,13584
lo,12500
lo,11000
lo,11000
lo,12500
lo,12266.5
lo,11124
lo,10500
lo,12500
lo,12550
lo,12477
lo,14500
lo,14408.5
lo,17000
lo,17955
lo,14900
lo,17500
lo,6770
lo,10170
lo,5133
lo,31775
lo,26113
lo,6000
lo,5750
lo,5996.5
lo,18320
lo,5400
lo,5400
lo,5400
lo,5400
lo,5400
lo,5400
lo,4500
lo,6510
lo,3500
lo,17500
lo,12625
lo,16708.5
lo,15525
lo,5250
lo,6000
lo,8919
lo,5847
lo,16373
lo,18320
lo,16000
lo,3500
lo,4750
lo,5856
lo,6687.5
lo,3500
lo,6000
lo,6334
lo,6600
lo,4500
lo,27000
lo,4110.5
lo,25000
lo,5500
lo,3500
lo,6333
lo,13631
lo,8400.5
lo,14500
lo,14500
lo,14500
lo,7079
lo,6333
lo,6750
lo,2749
lo,17750
lo,4750
lo,6000
lo,8233
lo,5000
lo,9310
lo,18607.5
lo,4750
lo,3500
